timestamp,BESSMariaElena,SEMariaElena
2024-01-01 00:00:00,7.500,0.000
2024-01-01 00:01:00,7.443,0.000
2024-01-01 00:02:00,7.386,0.000
2024-01-01 00:03:00,7.329,0.000
2024-01-01 00:04:00,7.272,0.000
2024-01-01 00:05:00,7.215,0.000
2024-01-01 00:06:00,7.157,0.000
2024-01-01 00:07:00,7.100,0.000
2024-01-01 00:08:00,7.042,0.000
2024-01-01 00:09:00,6.984,0.000
2024-01-01 00:10:00,6.926,0.000
2024-01-01 00:11:00,6.868,0.000
2024-01-01 00:12:00,6.810,0.000
2024-01-01 00:13:00,6.751,0.000
2024-01-01 00:14:00,6.693,0.000
2024-01-01 00:15:00,6.634,0.000
2024-01-01 00:16:00,6.576,0.000
2024-01-01 00:17:00,6.517,0.000
2024-01-01 00:18:00,6.458,0.000
2024-01-01 00:19:00,6.399,0.000
2024-01-01 00:20:00,6.339,0.000
2024-01-01 00:21:00,6.280,0.000
2024-01-01 00:22:00,6.220,0.000
2024-01-01 00:23:00,6.161,0.000
2024-01-01 00:24:00,6.101,0.000
2024-01-01 00:25:00,6.041,0.000
2024-01-01 00:26:00,5.981,0.000
2024-01-01 00:27:00,5.921,0.000
2024-01-01 00:28:00,5.861,0.000
2024-01-01 00:29:00,5.801,0.000
2024-01-01 00:30:00,5.740,0.000
2024-01-01 00:31:00,5.680,0.000
2024-01-01 00:32:00,5.619,0.000
2024-01-01 00:33:00,5.558,0.000
2024-01-01 00:34:00,5.498,0.000
2024-01-01 00:35:00,5.437,0.000
2024-01-01 00:36:00,5.376,0.000
2024-01-01 00:37:00,5.314,0.000
2024-01-01 00:38:00,5.253,0.000
2024-01-01 00:39:00,5.192,0.000
2024-01-01 00:40:00,5.130,0.000
2024-01-01 00:41:00,5.069,0.000
2024-01-01 00:42:00,5.007,0.000
2024-01-01 00:43:00,4.945,0.000
2024-01-01 00:44:00,4.884,0.000
2024-01-01 00:45:00,4.822,0.000
2024-01-01 00:46:00,4.760,0.000
2024-01-01 00:47:00,4.697,0.000
2024-01-01 00:48:00,4.635,0.000
2024-01-01 00:49:00,4.573,0.000
2024-01-01 00:50:00,4.511,0.000
2024-01-01 00:51:00,4.448,0.000
2024-01-01 00:52:00,4.386,0.000
2024-01-01 00:53:00,4.323,0.000
2024-01-01 00:54:00,4.260,0.000
2024-01-01 00:55:00,4.197,0.000
2024-01-01 00:56:00,4.135,0.000
2024-01-01 00:57:00,4.072,0.000
2024-01-01 00:58:00,4.009,0.000
2024-01-01 00:59:00,3.945,0.000
2024-01-01 01:00:00,3.882,0.000
2024-01-01 01:01:00,3.819,0.000
2024-01-01 01:02:00,3.756,0.000
2024-01-01 01:03:00,3.692,0.000
2024-01-01 01:04:00,3.629,0.000
2024-01-01 01:05:00,3.565,0.000
2024-01-01 01:06:00,3.502,0.000
2024-01-01 01:07:00,3.438,0.000
2024-01-01 01:08:00,3.374,0.000
2024-01-01 01:09:00,3.310,0.000
2024-01-01 01:10:00,3.247,0.000
2024-01-01 01:11:00,3.183,0.000
2024-01-01 01:12:00,3.119,0.000
2024-01-01 01:13:00,3.055,0.000
2024-01-01 01:14:00,2.991,0.000
2024-01-01 01:15:00,2.926,0.000
2024-01-01 01:16:00,2.862,0.000
2024-01-01 01:17:00,2.798,0.000
2024-01-01 01:18:00,2.734,0.000
2024-01-01 01:19:00,2.669,0.000
2024-01-01 01:20:00,2.605,0.000
2024-01-01 01:21:00,2.540,0.000
2024-01-01 01:22:00,2.476,0.000
2024-01-01 01:23:00,2.411,0.000
2024-01-01 01:24:00,2.347,0.000
2024-01-01 01:25:00,2.282,0.000
2024-01-01 01:26:00,2.217,0.000
2024-01-01 01:27:00,2.152,0.000
