timestamp,BESSMariaElena
2024-01-01 00:00:00,6.700
2024-01-01 00:01:00,6.590
2024-01-01 00:02:00,6.480
2024-01-01 00:03:00,6.380
2024-01-01 00:04:00,6.270
2024-01-01 00:05:00,6.160
2024-01-01 00:06:00,6.060
2024-01-01 00:07:00,5.960
2024-01-01 00:08:00,5.850
2024-01-01 00:09:00,5.750
2024-01-01 00:10:00,5.650
2024-01-01 00:11:00,5.550
2024-01-01 00:12:00,5.450
2024-01-01 00:13:00,5.350
2024-01-01 00:14:00,5.250
2024-01-01 00:15:00,5.160
2024-01-01 00:16:00,5.060
2024-01-01 00:17:00,4.970
2024-01-01 00:18:00,4.870
2024-01-01 00:19:00,4.780
2024-01-01 00:20:00,4.680
2024-01-01 00:21:00,4.590
2024-01-01 00:22:00,4.500
2024-01-01 00:23:00,4.410
2024-01-01 00:24:00,4.320
2024-01-01 00:25:00,4.230
2024-01-01 00:26:00,4.150
2024-01-01 00:27:00,4.060
2024-01-01 00:28:00,3.970
2024-01-01 00:29:00,3.890
2024-01-01 00:30:00,3.810
2024-01-01 00:31:00,3.720
2024-01-01 00:32:00,3.640
2024-01-01 00:33:00,3.560
2024-01-01 00:34:00,3.480
2024-01-01 00:35:00,3.400
2024-01-01 00:36:00,3.320
2024-01-01 00:37:00,3.240
2024-01-01 00:38:00,3.170
2024-01-01 00:39:00,3.090
2024-01-01 00:40:00,3.020
2024-01-01 00:41:00,2.940
2024-01-01 00:42:00,2.870
2024-01-01 00:43:00,2.800
2024-01-01 00:44:00,2.720
2024-01-01 00:45:00,2.650
2024-01-01 00:46:00,2.580
2024-01-01 00:47:00,2.520
2024-01-01 00:48:00,2.450
2024-01-01 00:49:00,2.380
2024-01-01 00:50:00,2.310
2024-01-01 00:51:00,2.250
2024-01-01 00:52:00,2.180
2024-01-01 00:53:00,2.120
2024-01-01 00:54:00,2.060
2024-01-01 00:55:00,2.000
2024-01-01 00:56:00,1.940
2024-01-01 00:57:00,1.880
2024-01-01 00:58:00,1.820
2024-01-01 00:59:00,1.760
2024-01-01 01:00:00,1.700
2024-01-01 01:01:00,1.650
2024-01-01 01:02:00,1.590
2024-01-01 01:03:00,1.540
2024-01-01 01:04:00,1.490
2024-01-01 01:05:00,1.430
2024-01-01 01:06:00,1.380
2024-01-01 01:07:00,1.330
2024-01-01 01:08:00,1.280
2024-01-01 01:09:00,1.230
2024-01-01 01:10:00,1.190
2024-01-01 01:11:00,1.140
2024-01-01 01:12:00,1.090
2024-01-01 01:13:00,1.050
2024-01-01 01:14:00,1.000
2024-01-01 01:15:00,0.960
2024-01-01 01:16:00,0.920
2024-01-01 01:17:00,0.880
2024-01-01 01:18:00,0.840
2024-01-01 01:19:00,0.800
2024-01-01 01:20:00,0.760
2024-01-01 01:21:00,0.720
2024-01-01 01:22:00,0.690
2024-01-01 01:23:00,0.650
2024-01-01 01:24:00,0.620
2024-01-01 01:25:00,0.580
2024-01-01 01:26:00,0.550
2024-01-01 01:27:00,0.520
2024-01-01 01:28:00,0.490
2024-01-01 01:29:00,0.460
2024-01-01 01:30:00,0.430
2024-01-01 01:31:00,0.400
2024-01-01 01:32:00,0.370
2024-01-01 01:33:00,0.350
2024-01-01 01:34:00,0.320
2024-01-01 01:35:00,0.300
2024-01-01 01:36:00,0.270
2024-01-01 01:37:00,0.250
2024-01-01 01:38:00,0.230
2024-01-01 01:39:00,0.210
2024-01-01 01:40:00,0.190
2024-01-01 01:41:00,0.170
2024-01-01 01:42:00,0.150
2024-01-01 01:43:00,0.140
2024-01-01 01:44:00,0.120
2024-01-01 01:45:00,0.110
2024-01-01 01:46:00,0.090
2024-01-01 01:47:00,0.080
2024-01-01 01:48:00,0.070
2024-01-01 01:49:00,0.060
2024-01-01 01:50:00,0.050
2024-01-01 01:51:00,0.040
2024-01-01 01:52:00,0.030
2024-01-01 01:53:00,0.020
2024-01-01 01:54:00,0.020
2024-01-01 01:55:00,0.010
2024-01-01 01:56:00,0.010
2024-01-01 01:57:00,0.000
2024-01-01 01:58:00,0.000
2024-01-01 01:59:00,0.000
2024-01-01 02:00:00,0
2024-01-01 02:01:00,0.000
2024-01-01 02:02:00,0.000
2024-01-01 02:03:00,0.000
2024-01-01 02:04:00,0.010
2024-01-01 02:05:00,0.010
2024-01-01 02:06:00,0.020
2024-01-01 02:07:00,0.020
2024-01-01 02:08:00,0.030
2024-01-01 02:09:00,0.040
2024-01-01 02:10:00,0.050
2024-01-01 02:11:00,0.060
2024-01-01 02:12:00,0.070
2024-01-01 02:13:00,0.080
2024-01-01 02:14:00,0.090
2024-01-01 02:15:00,0.110
2024-01-01 02:16:00,0.120
2024-01-01 02:17:00,0.140
2024-01-01 02:18:00,0.150
2024-01-01 02:19:00,0.170
2024-01-01 02:20:00,0.190
2024-01-01 02:21:00,0.210
2024-01-01 02:22:00,0.230
2024-01-01 02:23:00,0.250
2024-01-01 02:24:00,0.270
2024-01-01 02:25:00,0.300
2024-01-01 02:26:00,0.320
2024-01-01 02:27:00,0.350
2024-01-01 02:28:00,0.370
2024-01-01 02:29:00,0.400
2024-01-01 02:30:00,0.430
2024-01-01 02:31:00,0.460
2024-01-01 02:32:00,0.490
2024-01-01 02:33:00,0.520
2024-01-01 02:34:00,0.550
2024-01-01 02:35:00,0.580
2024-01-01 02:36:00,0.620
2024-01-01 02:37:00,0.650
2024-01-01 02:38:00,0.690
