timestamp,PECalama,PEValleDeLosVientos,PFVAzabache,PFVJama,PFVSanPedro,PFVUsya,SECalama,SEChuquicamata,SEJama,SELasana,SENuevaChuquicamata,SESalar,SEValleDeLosVientos
2024-01-01 00:00:00,11.734,8.871,0.000,0.000,0.000,0.000,10.558,15.544,0.662,0.199,6.795,14.670,9.200
2024-01-01 00:01:00,12.111,8.450,0.000,0.000,0.000,0.000,15.564,18.725,-1.091,1.042,5.849,15.542,9.926
2024-01-01 00:02:00,11.346,6.633,0.000,0.000,0.000,0.000,7.822,22.535,1.708,1.472,10.752,7.878,9.136
2024-01-01 00:03:00,11.876,7.130,0.000,0.000,0.000,0.000,8.779,33.115,0.043,-1.161,8.497,11.838,8.386
2024-01-01 00:04:00,12.625,7.686,0.000,0.000,0.000,0.000,12.559,26.573,0.231,-2.075,13.760,9.709,7.218
2024-01-01 00:05:00,9.419,7.470,0.000,0.000,0.000,0.000,11.670,30.609,2.228,-0.112,11.184,12.444,9.380
2024-01-01 00:06:00,10.151,9.212,0.000,0.000,0.000,0.000,15.799,20.915,0.156,0.182,9.715,12.995,9.894
2024-01-01 00:07:00,11.357,8.721,0.000,0.000,0.000,0.000,13.307,18.425,1.137,-0.252,11.796,5.678,6.829
2024-01-01 00:08:00,11.630,7.636,0.000,0.000,0.000,0.000,15.088,17.898,-0.638,1.017,8.537,14.756,10.516
2024-01-01 00:09:00,11.197,10.134,0.000,0.000,0.000,0.000,6.994,21.961,0.488,1.589,10.065,14.442,8.897
2024-01-01 00:10:00,13.294,7.731,0.000,0.000,0.000,0.000,11.119,12.188,0.178,-0.413,13.038,11.105,8.947
2024-01-01 00:11:00,11.035,8.471,0.000,0.000,0.000,0.000,12.721,27.268,-0.309,-0.025,9.988,9.387,8.093
2024-01-01 00:12:00,12.775,9.373,0.000,0.000,0.000,0.000,11.745,29.404,-0.144,-1.190,10.132,15.149,8.561
2024-01-01 00:13:00,12.643,9.543,0.000,0.000,0.000,0.000,8.482,12.677,-1.511,-2.252,15.495,11.130,9.715
2024-01-01 00:14:00,10.883,7.960,0.000,0.000,0.000,0.000,14.083,19.195,-1.705,0.996,16.434,9.517,5.796
2024-01-01 00:15:00,11.126,7.840,0.000,0.000,0.000,0.000,13.295,12.461,-0.751,0.485,11.271,14.315,7.104
2024-01-01 00:16:00,13.230,8.615,0.000,0.000,0.000,0.000,12.051,26.334,-1.294,-0.844,8.457,12.056,9.846
