timestamp,CAL-NCH,CAL-SAL,JAM-LAS,LAS-CAL,NCH-CHU,SAL-CHU,VLV-CAL
2024-01-01 00:00:00,-8.932,-8.233,0.565,-1.439,-11.867,-7.104,-10.558
2024-01-01 00:01:00,-7.746,-8.136,0.874,-0.771,-9.223,-8.371,-12.818
2024-01-01 00:02:00,-8.500,-8.914,-1.409,0.114,-7.471,-8.844,-12.801
2024-01-01 00:03:00,-10.325,-8.945,-0.347,-0.704,-9.676,-10.162,-8.600
2024-01-01 00:04:00,-6.343,-10.689,-0.664,2.669,-11.766,-9.302,-11.988
2024-01-01 00:05:00,-8.708,-10.058,0.677,0.138,-9.226,-7.909,-10.538
2024-01-01 00:06:00,-5.739,-10.521,0.088,1.687,-9.575,-11.306,-8.728
2024-01-01 00:07:00,-8.316,-9.613,-0.399,-1.699,-14.200,-8.604,-8.034
2024-01-01 00:08:00,-10.208,-8.333,0.111,-0.149,-9.368,-9.272,-10.390
2024-01-01 00:09:00,-10.341,-10.920,0.184,-1.681,-11.568,-8.922,-11.685
2024-01-01 00:10:00,-10.188,-7.247,1.073,1.544,-8.951,-9.746,-11.979
2024-01-01 00:11:00,-9.768,-5.390,-0.134,-0.312,-8.637,-10.658,-10.236
2024-01-01 00:12:00,-11.127,-6.177,0.787,-0.750,-9.704,-7.398,-10.702
2024-01-01 00:13:00,-7.347,-9.375,-1.102,0.411,-5.732,-7.094,-14.383
2024-01-01 00:14:00,-6.199,-9.131,-1.451,0.453,-11.067,-10.251,-8.216
2024-01-01 00:15:00,-11.988,-9.117,1.182,0.131,-9.167,-12.894,-12.369
2024-01-01 00:16:00,-7.685,-9.341,-1.542,0.551,-6.342,-11.085,-11.565
2024-01-01 00:17:00,-8.597,-9.633,2.123,-0.934,-7.415,-9.703,-10.978
2024-01-01 00:18:00,-10.505,-8.432,1.376,-1.857,-8.289,-10.174,-11.495
2024-01-01 00:19:00,-8.813,-10.916,-0.533,-0.057,-12.686,-7.571,-9.460
2024-01-01 00:20:00,-8.808,-11.895,0.011,-0.274,-8.484,-10.936,-9.621
2024-01-01 00:21:00,-8.374,-8.687,-0.936,-2.067,-8.738,-9.564,-13.487
2024-01-01 00:22:00,-8.087,-11.113,-0.793,-2.344,-10.792,-12.022,-12.423
2024-01-01 00:23:00,-9.750,-7.438,1.083,-1.672,-11.922,-11.177,-14.087
2024-01-01 00:24:00,-9.960,-9.879,-0.837,1.246,-6.864,-9.031,-10.475
2024-01-01 00:25:00,-12.396,-12.522,0.967,-1.489,-8.825,-10.866,-10.703
2024-01-01 00:26:00,-7.336,-9.710,-0.046,-1.562,-8.863,-9.306,-11.372
2024-01-01 00:27:00,-8.244,-12.657,-0.401,1.034,-8.706,-7.828,-10.580
2024-01-01 00:28:00,-9.397,-11.602,-0.904,1.055,-10.600,-11.180,-9.690
2024-01-01 00:29:00,-9.796,-8.841,0.524,0.193,-8.099,-6.481,-11.254
2024-01-01 00:30:00,-7.115,-6.711,0.562,0.462,-8.782,-10.397,-10.729
2024-01-01 00:31:00,-9.287,-9.701,0.246,0.023,-5.127,-9.542,-9.909
2024-01-01 00:32:00,-9.627,-7.429,-1.377,-2.007,-6.659,-10.599,-11.950
2024-01-01 00:33:00,-9.103,-8.436,-1.240,-0.761,-11.565,-6.909,-10.774
2024-01-01 00:34:00,-9.359,-7.292,-1.167,-0.393,-10.486,-11.055,-10.251
2024-01-01 00:35:00,-9.280,-9.989,-0.361,-0.868,-8.446,-7.219,-11.934
2024-01-01 00:36:00,-8.618,-8.532,-0.974,-2.377,-13.440,-10.391,-10.438
2024-01-01 00:37:00,-6.547,-9.132,0.069,-0.685,-8.945,-9.275,-12.813
2024-01-01 00:38:00,-7.256,-5.719,1.968,-0.370,-5.886,-8.866,-9.836
2024-01-01 00:39:00,-10.235,-6.944,0.287,-0.256,-10.496,-10.691,-10.304
2024-01-01 00:40:00,-10.516,-11.715,0.367,-0.646,-9.282,-8.133,-9.063
2024-01-01 00:41:00,-7.600,-8.090,-0.754,-1.219,-8.373,-11.082,-10.524
2024-01-01 00:42:00,-9.869,-11.676,1.683,0.832,-9.941,-5.786,-5.566
2024-01-01 00:43:00,-7.533,-9.726,0.252,-0.348,-5.991,-8.293,-8.887
2024-01-01 00:44:00,-5.499,-9.330,-0.853,0.831,-8.343,-10.681,-8.576
2024-01-01 00:45:00,-9.260,-9.475,1.597,-0.111,-9.537,-8.213,-7.457
2024-01-01 00:46:00,-7.163,-8.963,-0.967,-0.117,-8.984,-10.181,-12.055
2024-01-01 00:47:00,-9.437,-11.106,-0.946,0.430,-8.684,-7.953,-9.871
2024-01-01 00:48:00,-7.547,-8.603,-2.344,0.193,-7.383,-8.629,-12.642
2024-01-01 00:49:00,-10.752,-8.593,0.110,0.105,-10.731,-8.303,-11.650
2024-01-01 00:50:00,-7.077,-7.675,-0.245,1.035,-9.904,-7.767,-12.372
