timestamp,CAL-NCH,CAL-SAL,JAM-LAS,LAS-CAL,NCH-CHU,SAL-CHU,VLV-CAL
2024-01-01 00:00:00,0.061,-1.185,-0.399,-0.025,-2.934,-3.048,-0.135
2024-01-01 00:01:00,-2.590,-0.241,1.004,-0.961,1.773,-1.568,-2.702
2024-01-01 00:02:00,-1.425,0.891,0.664,-1.067,-1.353,0.561,-1.233
2024-01-01 00:03:00,-0.743,1.870,1.095,1.739,1.380,0.407,-1.105
2024-01-01 00:04:00,-1.565,0.821,0.936,0.899,-2.015,1.275,-2.414
2024-01-01 00:05:00,-0.368,0.242,0.140,-2.907,-4.087,1.624,-1.239
2024-01-01 00:06:00,1.146,0.691,0.658,-1.042,0.534,0.680,-1.780
2024-01-01 00:07:00,0.637,0.717,1.456,-2.188,-0.422,-1.291,-1.601
2024-01-01 00:08:00,0.200,-0.772,-1.881,-0.234,1.170,-0.145,-1.837
2024-01-01 00:09:00,-0.608,0.579,-0.989,-0.056,1.728,-4.652,-1.441
2024-01-01 00:10:00,-0.063,0.818,-0.366,-0.884,-1.700,0.730,-1.880
2024-01-01 00:11:00,0.703,-0.741,-0.733,-1.610,-0.608,0.085,-2.181
2024-01-01 00:12:00,-1.189,-0.747,-0.346,2.740,-1.456,-0.471,-3.921
2024-01-01 00:13:00,-3.191,1.443,-1.123,0.291,3.321,-0.659,0.262
2024-01-01 00:14:00,-0.508,-1.820,-0.171,-2.470,0.267,-0.807,-3.345
2024-01-01 00:15:00,-0.268,0.861,-0.112,2.723,0.265,1.999,-0.518
2024-01-01 00:16:00,-1.313,-1.010,1.879,1.582,1.110,0.392,-2.476
2024-01-01 00:17:00,2.087,-2.092,-0.085,-0.051,-1.536,-1.179,-5.040
2024-01-01 00:18:00,1.817,-3.039,0.272,1.319,1.780,1.533,-0.918
2024-01-01 00:19:00,1.498,-1.847,-0.873,1.490,-0.922,0.534,-1.657
2024-01-01 00:20:00,-0.238,-2.292,2.232,-0.680,0.365,-0.508,-1.457
2024-01-01 00:21:00,0.530,0.972,-0.681,-0.668,-5.386,-3.902,-0.507
2024-01-01 00:22:00,-3.013,-1.741,-2.347,-2.173,1.253,0.517,-3.534
2024-01-01 00:23:00,2.590,1.060,-0.673,0.492,1.449,-1.503,-0.856
2024-01-01 00:24:00,0.989,-1.927,1.545,-0.873,-1.587,-1.081,-1.272
2024-01-01 00:25:00,-0.780,-3.117,-0.717,-2.007,-0.423,1.564,-1.687
2024-01-01 00:26:00,0.326,-0.728,-0.416,1.534,-3.505,0.281,-4.265
2024-01-01 00:27:00,-1.012,-1.713,0.150,3.666,0.645,-1.772,-0.416
2024-01-01 00:28:00,0.089,0.781,-1.607,2.524,-4.282,-1.279,-3.633
2024-01-01 00:29:00,1.535,-2.198,0.224,1.820,-1.894,-1.928,0.623
2024-01-01 00:30:00,-1.530,-1.283,-0.698,-0.369,0.162,1.734,-0.371
2024-01-01 00:31:00,-0.627,-0.369,0.196,0.459,-4.822,-1.735,-1.415
2024-01-01 00:32:00,-1.471,-2.078,0.796,2.420,1.251,-5.053,-4.859
2024-01-01 00:33:00,-1.753,1.269,0.159,-0.823,0.585,-2.355,-0.293
2024-01-01 00:34:00,-1.217,-0.215,-1.306,-1.402,1.578,-2.536,-3.332
2024-01-01 00:35:00,0.282,-3.385,1.034,0.126,-1.390,1.552,-2.390
