timestamp,CAL-NCH,CAL-SAL,JAM-LAS,LAS-CAL,NCH-CHU,SAL-CHU,VLV-CAL
2024-01-01 00:00:00,2.445,1.887,0.392,0.487,1.814,0.541,-1.076
2024-01-01 00:01:00,3.236,1.305,2.788,1.090,-3.200,-0.767,-2.065
2024-01-01 00:02:00,-1.093,-0.398,0.424,-0.734,2.063,5.041,-2.074
2024-01-01 00:03:00,0.145,2.045,1.767,0.162,1.770,-2.151,0.922
2024-01-01 00:04:00,-1.703,1.870,-1.008,-0.645,1.210,-2.385,2.946
2024-01-01 00:05:00,4.011,-1.074,-1.339,-3.200,0.141,0.597,-1.542
2024-01-01 00:06:00,1.930,0.913,-0.448,1.229,1.918,4.476,0.241
2024-01-01 00:07:00,2.443,2.054,-0.262,2.406,-0.177,1.595,-0.731
2024-01-01 00:08:00,0.353,-1.468,-0.214,1.656,1.501,0.024,1.028
2024-01-01 00:09:00,-1.070,-0.654,0.203,-0.232,1.946,-2.714,-0.119
2024-01-01 00:10:00,4.525,-2.532,-0.107,-0.790,-1.373,0.132,-0.014
2024-01-01 00:11:00,2.034,-1.872,-0.446,0.674,-1.417,1.179,-1.487
2024-01-01 00:12:00,1.738,-2.060,0.693,0.541,-1.790,-1.068,-0.249
2024-01-01 00:13:00,-0.405,-1.912,-0.455,-0.439,0.613,4.043,-0.765
2024-01-01 00:14:00,0.771,0.856,2.308,-0.245,3.083,0.521,-0.364
2024-01-01 00:15:00,1.422,3.561,-0.283,0.749,1.002,0.939,-0.289
2024-01-01 00:16:00,0.016,0.976,2.252,-0.965,-1.477,0.788,-1.509
2024-01-01 00:17:00,0.088,0.991,0.018,-1.689,2.248,2.503,1.157
2024-01-01 00:18:00,1.524,1.029,1.202,0.818,4.327,-0.819,2.421
2024-01-01 00:19:00,-0.651,-0.244,-1.339,-0.620,4.411,-0.176,0.464
2024-01-01 00:20:00,0.244,-1.266,0.808,0.460,1.915,1.145,0.668
2024-01-01 00:21:00,2.004,-0.262,1.303,1.342,3.711,1.431,-1.336
2024-01-01 00:22:00,2.747,2.661,-0.465,-1.417,0.115,0.187,-2.600
2024-01-01 00:23:00,-2.844,3.355,0.514,-0.229,3.073,0.002,-1.611
2024-01-01 00:24:00,2.583,2.122,-3.530,-0.096,1.810,-2.579,-1.308
2024-01-01 00:25:00,-0.547,-0.506,-0.340,0.186,1.540,-1.208,-1.812
2024-01-01 00:26:00,-0.744,0.634,-0.708,-1.959,0.407,-0.885,1.013
2024-01-01 00:27:00,0.591,0.398,0.645,0.574,-1.032,3.368,-3.148
2024-01-01 00:28:00,3.139,0.735,-0.933,2.256,-1.997,1.424,0.416
2024-01-01 00:29:00,3.166,0.811,-1.060,-0.089,-2.122,1.445,0.370
2024-01-01 00:30:00,0.484,-0.806,0.808,1.832,0.301,3.256,-0.042
2024-01-01 00:31:00,-0.091,0.117,0.046,-0.454,-0.707,-1.956,0.091
2024-01-01 00:32:00,1.262,3.711,0.407,-0.950,-2.703,-0.230,-1.471
2024-01-01 00:33:00,-0.117,-0.247,1.004,-0.109,0.855,-1.531,-2.124
2024-01-01 00:34:00,0.682,1.763,-0.665,-0.102,1.464,3.963,-1.607
2024-01-01 00:35:00,1.112,1.424,-0.348,-0.208,0.075,-0.923,-0.911
2024-01-01 00:36:00,0.973,0.840,-0.249,-1.556,-0.425,-0.337,1.822
2024-01-01 00:37:00,-0.261,-1.336,-0.040,-1.118,-1.157,-1.353,-2.215
2024-01-01 00:38:00,1.564,1.976,-2.454,1.582,2.343,2.212,-1.648
2024-01-01 00:39:00,1.868,-0.923,-0.747,-0.843,2.371,2.909,-1.911
2024-01-01 00:40:00,1.421,0.682,-0.033,-0.559,2.343,1.565,0.770
2024-01-01 00:41:00,2.239,-0.128,-1.185,-2.246,0.988,2.125,-0.406
2024-01-01 00:42:00,0.901,0.598,-1.422,-0.886,0.273,0.856,0.685
2024-01-01 00:43:00,0.449,1.052,0.349,-0.732,1.176,1.721,-1.475
2024-01-01 00:44:00,2.971,-0.708,1.239,-0.954,1.905,3.306,1.054
2024-01-01 00:45:00,-0.276,-1.654,0.697,1.711,1.438,4.555,1.653
2024-01-01 00:46:00,-0.134,1.987,-0.517,-1.244,0.127,2.244,2.009
2024-01-01 00:47:00,0.703,-1.559,-1.997,2.696,2.830,1.553,0.869
2024-01-01 00:48:00,-0.599,2.466,-0.727,-0.565,2.776,1.920,0.139
2024-01-01 00:49:00,0.293,-0.075,0.868,1.694,1.252,1.484,0.691
2024-01-01 00:50:00,1.476,-0.506,-1.854,1.570,1.059,1.570,-1.947
2024-01-01 00:51:00,-0.179,-0.751,-0.500,-0.167,-1.710,1.124,-2.060
2024-01-01 00:52:00,-0.082,1.286,-0.528,-1.264,-0.129,-0.621,0.287
2024-01-01 00:53:00,-0.956,4.015,-0.477,-1.305,-1.294,2.582,-1.397
2024-01-01 00:54:00,0.109,0.035,0.411,-1.365,-1.149,0.920,-2.121
2024-01-01 00:55:00,1.632,3.498,-0.442,0.837,-0.274,1.473,-2.167
2024-01-01 00:56:00,1.173,-1.357,0.915,-0.292,4.038,1.652,2.160
2024-01-01 00:57:00,1.125,0.253,0.123,-0.279,-1.006,3.224,-0.991
2024-01-01 00:58:00,0.507,2.396,0.716,-1.030,1.050,4.041,-0.850
2024-01-01 00:59:00,2.906,2.684,0.709,-1.599,0.033,-0.051,1.353
2024-01-01 01:00:00,1.892,-1.571,-0.945,-0.617,0.141,2.057,0.332
2024-01-01 01:01:00,0.359,0.357,0.420,0.680,1.159,1.118,-0.143
