timestamp,CAH-DER-0,CAH-DER-1,DER-ICA
2024-01-01 00:00:00,7.756,8.968,18.719
2024-01-01 00:01:00,6.902,6.802,16.300
2024-01-01 00:02:00,8.144,7.155,13.821
2024-01-01 00:03:00,8.113,7.519,12.504
2024-01-01 00:04:00,7.308,7.681,13.356
2024-01-01 00:05:00,8.303,8.149,16.750
2024-01-01 00:06:00,7.096,6.195,16.474
2024-01-01 00:07:00,8.189,6.391,18.679
2024-01-01 00:08:00,8.852,7.360,16.735
2024-01-01 00:09:00,8.687,8.098,14.106
2024-01-01 00:10:00,7.794,7.727,16.955
2024-01-01 00:11:00,6.556,5.954,13.541
2024-01-01 00:12:00,8.040,7.172,14.611
2024-01-01 00:13:00,7.980,7.703,19.336
2024-01-01 00:14:00,7.382,7.157,15.767
2024-01-01 00:15:00,5.933,8.763,15.889
2024-01-01 00:16:00,6.334,6.783,17.452
2024-01-01 00:17:00,7.848,9.008,14.401
2024-01-01 00:18:00,8.216,8.236,13.692
2024-01-01 00:19:00,8.815,8.531,14.884
2024-01-01 00:20:00,8.213,8.496,14.716
2024-01-01 00:21:00,7.201,8.886,16.560
2024-01-01 00:22:00,6.974,7.121,15.671
2024-01-01 00:23:00,8.813,7.246,16.554
2024-01-01 00:24:00,6.949,9.059,17.523
2024-01-01 00:25:00,7.195,6.521,21.642
2024-01-01 00:26:00,8.786,5.930,17.449
2024-01-01 00:27:00,8.996,7.315,18.463
2024-01-01 00:28:00,6.627,7.036,16.021
2024-01-01 00:29:00,7.742,8.670,17.954
2024-01-01 00:30:00,8.968,6.540,14.328
2024-01-01 00:31:00,8.892,10.211,15.805
2024-01-01 00:32:00,6.461,6.785,14.141
2024-01-01 00:33:00,7.052,7.370,15.078
2024-01-01 00:34:00,6.673,7.545,15.753
2024-01-01 00:35:00,7.161,9.332,14.526
2024-01-01 00:36:00,5.974,7.194,13.043
2024-01-01 00:37:00,7.299,5.885,15.490
2024-01-01 00:38:00,8.592,9.140,18.157
2024-01-01 00:39:00,8.214,8.755,14.497
2024-01-01 00:40:00,7.443,9.743,16.649
2024-01-01 00:41:00,7.287,7.455,16.441
2024-01-01 00:42:00,8.240,8.484,15.931
2024-01-01 00:43:00,6.999,7.841,17.839
2024-01-01 00:44:00,9.841,8.576,13.103
2024-01-01 00:45:00,7.605,6.387,12.826
2024-01-01 00:46:00,6.444,7.204,10.164
2024-01-01 00:47:00,9.437,8.435,13.573
