timestamp,CAH-DER-0,CAH-DER-1,CAL-NCH,CAL-SAL,DER-ICA,JAM-LAS,LAS-CAL,NCH-CHU,SAL-CHU,VLV-CAL
2024-01-01 00:00:00,0.000,0.000,2.031,-0.511,0.000,-1.309,1.277,-1.391,1.376,-2.880
2024-01-01 00:01:00,0.000,0.000,2.254,-1.546,0.000,0.329,-0.631,-3.554,1.882,-3.143
2024-01-01 00:02:00,0.000,0.000,-1.483,0.820,0.000,-0.295,0.240,-1.708,-0.195,-2.198
2024-01-01 00:03:00,0.000,0.000,1.409,-1.462,0.000,0.236,1.623,1.606,0.088,-1.042
2024-01-01 00:04:00,0.000,0.000,-1.239,-2.648,0.000,0.227,1.315,1.004,-0.539,-1.741
2024-01-01 00:05:00,0.000,0.000,-0.382,0.550,0.000,-0.275,1.351,2.406,-0.923,-0.660
2024-01-01 00:06:00,0.000,0.000,-0.041,-2.963,0.000,-1.290,0.687,-1.265,0.646,-0.947
2024-01-01 00:07:00,0.000,0.000,2.021,0.235,0.000,-0.419,0.272,-5.301,-2.391,-2.651
2024-01-01 00:08:00,0.000,0.000,1.766,-0.643,0.000,0.282,1.153,-0.081,0.177,-3.310
2024-01-01 00:09:00,0.000,0.000,-1.565,-1.977,0.000,1.281,-1.534,-1.749,-2.117,-3.441
2024-01-01 00:10:00,0.000,0.000,0.243,-1.207,0.000,-1.535,1.647,0.989,-5.364,-3.347
2024-01-01 00:11:00,0.000,0.000,-2.658,-2.540,0.000,-0.240,2.466,1.182,-2.341,-1.206
2024-01-01 00:12:00,0.000,0.000,-2.046,1.232,0.000,-1.462,0.958,-1.925,-0.648,-0.527
2024-01-01 00:13:00,0.000,0.000,1.113,-3.409,0.000,-0.285,-0.814,0.632,1.241,-2.455
2024-01-01 00:14:00,0.000,0.000,-0.503,-1.978,0.000,-0.737,0.907,-1.080,-0.577,-3.097
2024-01-01 00:15:00,0.000,0.000,0.691,-1.633,0.000,1.376,-2.551,-2.108,-3.670,-1.425
2024-01-01 00:16:00,0.000,0.000,-0.157,0.540,0.000,0.630,-0.514,-2.804,3.447,-1.105
2024-01-01 00:17:00,0.000,0.000,1.459,-2.149,0.000,0.401,1.292,0.899,-1.576,-1.617
2024-01-01 00:18:00,0.000,0.000,-0.619,0.748,0.000,0.373,-0.804,-0.193,-0.346,-2.537
2024-01-01 00:19:00,0.000,0.000,1.739,1.769,0.000,-0.455,-2.929,-2.754,-2.234,-2.778
2024-01-01 00:20:00,0.000,0.000,0.851,1.362,0.000,-0.552,0.326,-2.511,-1.795,-2.080
2024-01-01 00:21:00,0.000,0.000,0.071,-2.916,0.000,0.192,-1.323,1.859,0.733,-3.176
2024-01-01 00:22:00,0.000,0.000,-2.501,0.559,0.000,0.549,-0.837,-0.894,2.750,-2.483
2024-01-01 00:23:00,0.000,0.000,-1.528,-1.539,0.000,-0.948,-1.125,1.848,0.381,-2.184
2024-01-01 00:24:00,0.000,0.000,-1.554,-0.746,0.000,0.061,-0.667,-2.918,3.646,-0.621
2024-01-01 00:25:00,0.000,0.000,-2.146,-2.067,0.000,-0.390,-2.134,-2.090,-1.348,-4.712
2024-01-01 00:26:00,0.000,0.000,-2.650,0.142,0.000,0.632,0.243,-1.048,-0.584,-0.384
2024-01-01 00:27:00,0.000,0.000,2.895,1.423,0.000,-0.318,-0.621,1.423,0.620,-3.199
